Tactic,Police Force,Force type - Output,Tactic - Output,ethnicity,count
Baton used,City of London,Other equipment,Baton: used,White,3.0
Not stated baton,City of London,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",City of London,Other equipment,Total: Irritant spray,White,36.0
Irritant spray - drawn,City of London,Other equipment,Irritant spray: drawn,White,22.0
Irritant spray - used,City of London,Other equipment,Irritant spray: used,White,14.0
Not stated irritant spray,City of London,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,City of London,Other equipment,Spit and bite guard,White,0.0
Shield,City of London,Other equipment,Shield,White,0.0
*Total Less lethal weapons,City of London,Less lethal weapons,Total: Less lethal weapons,White,20.0
CED,City of London,Less lethal weapons,CED,White,20.0
"AEP, of which",City of London,Less lethal weapons,Total: AEP,White,0.0
AEP aimed,City of London,Less lethal weapons,AEP: Aimed,White,0.0
AEP fired,City of London,Less lethal weapons,AEP: Fired,White,0.0
Not stated AEP,City of London,Less lethal weapons,AEP: Not stated,White,0.0
*Total Firearms,City of London,Firearms,Total: Firearms,White,6.0
*Total Other,City of London,Other,Total: Other,White,65.0
"Dog use, of which",City of London,Other,Total: Dog,White,9.0
Dog deployed,City of London,Other,Dog: deployed,White,8.0
Dog bite,City of London,Other,Dog: bite,White,1.0
Not stated dog,City of London,Other,Dog: not stated,White,0.0
Other / improvised,City of London,Other,Other / improvised,White,56.0
*Total Not reported,City of London,Not reported,Total: Not reported,White,0.0
Tactical communication,City of London,Excluded: Tactical Communication,Tactical Communication,White,706.0
*Total Tactics,Cleveland,Total,Total: all,White,12566.0
*Total Restraint,Cleveland,Restraint,Total: Restraint,White,9372.0
"Handcuffing, of which",Cleveland,Restraint,Total: Handcuffing,White,7143.0
Compliant handcuffing,Cleveland,Restraint,Handcuffing: compliant,White,4886.0
Non-compliant handcuffing,Cleveland,Restraint,Handcuffing: non-compliant,White,2257.0
Not stated handcuffing,Cleveland,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,Cleveland,Restraint,Limb / body restraints,White,236.0
Ground restraint,Cleveland,Restraint,Ground restraint,White,1993.0
*Total Unarmed skills,Cleveland,Unarmed skills,Total: unarmed skills,White,2320.0
*Total Other equipment,Cleveland,Other equipment,Total: Other equipment,White,410.0
"Baton, of which",Cleveland,Other equipment,Total: Baton,White,122.0
Baton drawn,Cleveland,Other equipment,Baton: drawn,White,82.0
Baton used,Cleveland,Other equipment,Baton: used,White,40.0
Not stated baton,Cleveland,Other equipment,Baton: not stated,White,0.0
