Tactic,Police Force,Force type - Output,Tactic - Output,ethnicity,count
Irritant spray - used,Lincolnshire,Other equipment,Irritant spray: used,Not reported,0.0
Not stated irritant spray,Lincolnshire,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Lincolnshire,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Lincolnshire,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Lincolnshire,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED,Lincolnshire,Less lethal weapons,CED,Not reported,0.0
"AEP, of which",Lincolnshire,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,Lincolnshire,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,Lincolnshire,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Lincolnshire,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Lincolnshire,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Lincolnshire,Other,Total: Other,Not reported,0.0
"Dog use, of which",Lincolnshire,Other,Total: Dog,Not reported,0.0
Dog deployed,Lincolnshire,Other,Dog: deployed,Not reported,0.0
Dog bite,Lincolnshire,Other,Dog: bite,Not reported,0.0
Not stated dog,Lincolnshire,Other,Dog: not stated,Not reported,0.0
Other / improvised,Lincolnshire,Other,Other / improvised,Not reported,0.0
*Total Not reported,Lincolnshire,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Lincolnshire,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,Merseyside,Total,Total: all,Not reported,0.0
*Total Restraint,Merseyside,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",Merseyside,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,Merseyside,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,Merseyside,Restraint,Handcuffing: non-compliant,Not reported,0.0
Not stated handcuffing,Merseyside,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,Merseyside,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,Merseyside,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,Merseyside,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,Merseyside,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",Merseyside,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,Merseyside,Other equipment,Baton: drawn,Not reported,0.0
Baton used,Merseyside,Other equipment,Baton: used,Not reported,0.0
Not stated baton,Merseyside,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",Merseyside,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,Merseyside,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,Merseyside,Other equipment,Irritant spray: used,Not reported,0.0
Not stated irritant spray,Merseyside,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Merseyside,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Merseyside,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Merseyside,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED,Merseyside,Less lethal weapons,CED,Not reported,0.0
"AEP, of which",Merseyside,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,Merseyside,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,Merseyside,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Merseyside,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Merseyside,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Merseyside,Other,Total: Other,Not reported,0.0
"Dog use, of which",Merseyside,Other,Total: Dog,Not reported,0.0
Dog deployed,Merseyside,Other,Dog: deployed,Not reported,0.0
Dog bite,Merseyside,Other,Dog: bite,Not reported,0.0
Not stated dog,Merseyside,Other,Dog: not stated,Not reported,0.0
Other / improvised,Merseyside,Other,Other / improvised,Not reported,0.0
*Total Not reported,Merseyside,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Merseyside,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,Metropolitan,Total,Total: all,Not reported,0.0
*Total Restraint,Metropolitan,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",Metropolitan,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,Metropolitan,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,Metropolitan,Restraint,Handcuffing: non-compliant,Not reported,0.0
Not stated handcuffing,Metropolitan,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,Metropolitan,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,Metropolitan,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,Metropolitan,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,Metropolitan,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",Metropolitan,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,Metropolitan,Other equipment,Baton: drawn,Not reported,0.0
Baton used,Metropolitan,Other equipment,Baton: used,Not reported,0.0
Not stated baton,Metropolitan,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",Metropolitan,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,Metropolitan,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,Metropolitan,Other equipment,Irritant spray: used,Not reported,0.0
Not stated irritant spray,Metropolitan,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Metropolitan,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Metropolitan,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Metropolitan,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED,Metropolitan,Less lethal weapons,CED,Not reported,0.0
"AEP, of which",Metropolitan,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,Metropolitan,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,Metropolitan,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Metropolitan,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Metropolitan,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Metropolitan,Other,Total: Other,Not reported,0.0
"Dog use, of which",Metropolitan,Other,Total: Dog,Not reported,0.0
Dog deployed,Metropolitan,Other,Dog: deployed,Not reported,0.0
Dog bite,Metropolitan,Other,Dog: bite,Not reported,0.0
Not stated dog,Metropolitan,Other,Dog: not stated,Not reported,0.0
Other / improvised,Metropolitan,Other,Other / improvised,Not reported,0.0
*Total Not reported,Metropolitan,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Metropolitan,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,Norfolk,Total,Total: all,Not reported,220.0
*Total Restraint,Norfolk,Restraint,Total: Restraint,Not reported,135.0
"Handcuffing, of which",Norfolk,Restraint,Total: Handcuffing,Not reported,110.0
Compliant handcuffing,Norfolk,Restraint,Handcuffing: compliant,Not reported,67.0
Non-compliant handcuffing,Norfolk,Restraint,Handcuffing: non-compliant,Not reported,43.0
Not stated handcuffing,Norfolk,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,Norfolk,Restraint,Limb / body restraints,Not reported,10.0
Ground restraint,Norfolk,Restraint,Ground restraint,Not reported,15.0
*Total Unarmed skills,Norfolk,Unarmed skills,Total: unarmed skills,Not reported,35.0
*Total Other equipment,Norfolk,Other equipment,Total: Other equipment,Not reported,27.0
"Baton, of which",Norfolk,Other equipment,Total: Baton,Not reported,7.0
Baton drawn,Norfolk,Other equipment,Baton: drawn,Not reported,6.0
Baton used,Norfolk,Other equipment,Baton: used,Not reported,1.0
Not stated baton,Norfolk,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",Norfolk,Other equipment,Total: Irritant spray,Not reported,15.0
Irritant spray - drawn,Norfolk,Other equipment,Irritant spray: drawn,Not reported,5.0
Irritant spray - used,Norfolk,Other equipment,Irritant spray: used,Not reported,10.0
Not stated irritant spray,Norfolk,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Norfolk,Other equipment,Spit and bite guard,Not reported,3.0
Shield,Norfolk,Other equipment,Shield,Not reported,2.0
*Total Less lethal weapons,Norfolk,Less lethal weapons,Total: Less lethal weapons,Not reported,1.0
CED,Norfolk,Less lethal weapons,CED,Not reported,0.0
"AEP, of which",Norfolk,Less lethal weapons,Total: AEP,Not reported,1.0
AEP aimed,Norfolk,Less lethal weapons,AEP: Aimed,Not reported,1.0
AEP fired,Norfolk,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Norfolk,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Norfolk,Firearms,Total: Firearms,Not reported,1.0
*Total Other,Norfolk,Other,Total: Other,Not reported,21.0
"Dog use, of which",Norfolk,Other,Total: Dog,Not reported,4.0
Dog deployed,Norfolk,Other,Dog: deployed,Not reported,4.0
Dog bite,Norfolk,Other,Dog: bite,Not reported,0.0
Not stated dog,Norfolk,Other,Dog: not stated,Not reported,0.0
Other / improvised,Norfolk,Other,Other / improvised,Not reported,17.0
*Total Not reported,Norfolk,Not reported,Total: Not reported,Not reported,7.0
Tactical communication,Norfolk,Excluded: Tactical Communication,Tactical Communication,Not reported,94.0
*Total Tactics,North Wales,Total,Total: all,Not reported,0.0
*Total Restraint,North Wales,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",North Wales,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,North Wales,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,North Wales,Restraint,Handcuffing: non-compliant,Not reported,0.0
Not stated handcuffing,North Wales,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,North Wales,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,North Wales,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,North Wales,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,North Wales,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",North Wales,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,North Wales,Other equipment,Baton: drawn,Not reported,0.0
Baton used,North Wales,Other equipment,Baton: used,Not reported,0.0
Not stated baton,North Wales,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",North Wales,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,North Wales,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,North Wales,Other equipment,Irritant spray: used,Not reported,0.0
Not stated irritant spray,North Wales,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,North Wales,Other equipment,Spit and bite guard,Not reported,0.0
Shield,North Wales,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,North Wales,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED,North Wales,Less lethal weapons,CED,Not reported,0.0
"AEP, of which",North Wales,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,North Wales,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,North Wales,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,North Wales,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,North Wales,Firearms,Total: Firearms,Not reported,0.0
*Total Other,North Wales,Other,Total: Other,Not reported,0.0
"Dog use, of which",North Wales,Other,Total: Dog,Not reported,0.0
Dog deployed,North Wales,Other,Dog: deployed,Not reported,0.0
Dog bite,North Wales,Other,Dog: bite,Not reported,0.0
Not stated dog,North Wales,Other,Dog: not stated,Not reported,0.0
Other / improvised,North Wales,Other,Other / improvised,Not reported,0.0
*Total Not reported,North Wales,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,North Wales,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,North Yorkshire,Total,Total: all,Not reported,0.0
*Total Restraint,North Yorkshire,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",North Yorkshire,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,North Yorkshire,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,North Yorkshire,Restraint,Handcuffing: non-compliant,Not reported,0.0
Not stated handcuffing,North Yorkshire,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,North Yorkshire,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,North Yorkshire,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,North Yorkshire,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,North Yorkshire,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",North Yorkshire,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,North Yorkshire,Other equipment,Baton: drawn,Not reported,0.0
Baton used,North Yorkshire,Other equipment,Baton: used,Not reported,0.0
Not stated baton,North Yorkshire,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",North Yorkshire,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,North Yorkshire,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,North Yorkshire,Other equipment,Irritant spray: used,Not reported,0.0
Not stated irritant spray,North Yorkshire,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,North Yorkshire,Other equipment,Spit and bite guard,Not reported,0.0
Shield,North Yorkshire,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,North Yorkshire,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED,North Yorkshire,Less lethal weapons,CED,Not reported,0.0
"AEP, of which",North Yorkshire,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,North Yorkshire,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,North Yorkshire,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,North Yorkshire,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,North Yorkshire,Firearms,Total: Firearms,Not reported,0.0
*Total Other,North Yorkshire,Other,Total: Other,Not reported,0.0
"Dog use, of which",North Yorkshire,Other,Total: Dog,Not reported,0.0
Dog deployed,North Yorkshire,Other,Dog: deployed,Not reported,0.0
Dog bite,North Yorkshire,Other,Dog: bite,Not reported,0.0
Not stated dog,North Yorkshire,Other,Dog: not stated,Not reported,0.0
Other / improvised,North Yorkshire,Other,Other / improvised,Not reported,0.0
*Total Not reported,North Yorkshire,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,North Yorkshire,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,Northamptonshire,Total,Total: all,Not reported,1.0
*Total Restraint,Northamptonshire,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",Northamptonshire,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,Northamptonshire,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,Northamptonshire,Restraint,Handcuffing: non-compliant,Not reported,0.0
Not stated handcuffing,Northamptonshire,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,Northamptonshire,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,Northamptonshire,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,Northamptonshire,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,Northamptonshire,Other equipment,Total: Other equipment,Not reported,1.0
"Baton, of which",Northamptonshire,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,Northamptonshire,Other equipment,Baton: drawn,Not reported,0.0
Baton used,Northamptonshire,Other equipment,Baton: used,Not reported,0.0
Not stated baton,Northamptonshire,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",Northamptonshire,Other equipment,Total: Irritant spray,Not reported,1.0
Irritant spray - drawn,Northamptonshire,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,Northamptonshire,Other equipment,Irritant spray: used,Not reported,1.0
Not stated irritant spray,Northamptonshire,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Northamptonshire,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Northamptonshire,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Northamptonshire,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED,Northamptonshire,Less lethal weapons,CED,Not reported,0.0
"AEP, of which",Northamptonshire,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,Northamptonshire,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,Northamptonshire,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Northamptonshire,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Northamptonshire,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Northamptonshire,Other,Total: Other,Not reported,0.0
"Dog use, of which",Northamptonshire,Other,Total: Dog,Not reported,0.0
Dog deployed,Northamptonshire,Other,Dog: deployed,Not reported,0.0
Dog bite,Northamptonshire,Other,Dog: bite,Not reported,0.0
Not stated dog,Northamptonshire,Other,Dog: not stated,Not reported,0.0
Other / improvised,Northamptonshire,Other,Other / improvised,Not reported,0.0
*Total Not reported,Northamptonshire,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Northamptonshire,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,Northumbria,Total,Total: all,Not reported,0.0
*Total Restraint,Northumbria,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",Northumbria,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,Northumbria,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,Northumbria,Restraint,Handcuffing: non-compliant,Not reported,0.0
Not stated handcuffing,Northumbria,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,Northumbria,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,Northumbria,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,Northumbria,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,Northumbria,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",Northumbria,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,Northumbria,Other equipment,Baton: drawn,Not reported,0.0
Baton used,Northumbria,Other equipment,Baton: used,Not reported,0.0
Not stated baton,Northumbria,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",Northumbria,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,Northumbria,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,Northumbria,Other equipment,Irritant spray: used,Not reported,0.0
Not stated irritant spray,Northumbria,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Northumbria,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Northumbria,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Northumbria,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED,Northumbria,Less lethal weapons,CED,Not reported,0.0
"AEP, of which",Northumbria,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,Northumbria,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,Northumbria,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Northumbria,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Northumbria,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Northumbria,Other,Total: Other,Not reported,0.0
"Dog use, of which",Northumbria,Other,Total: Dog,Not reported,0.0
Dog deployed,Northumbria,Other,Dog: deployed,Not reported,0.0
Dog bite,Northumbria,Other,Dog: bite,Not reported,0.0
Not stated dog,Northumbria,Other,Dog: not stated,Not reported,0.0
Other / improvised,Northumbria,Other,Other / improvised,Not reported,0.0
*Total Not reported,Northumbria,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Northumbria,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,Nottinghamshire,Total,Total: all,Not reported,0.0
*Total Restraint,Nottinghamshire,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",Nottinghamshire,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,Nottinghamshire,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,Nottinghamshire,Restraint,Handcuffing: non-compliant,Not reported,0.0
Not stated handcuffing,Nottinghamshire,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,Nottinghamshire,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,Nottinghamshire,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,Nottinghamshire,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,Nottinghamshire,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",Nottinghamshire,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,Nottinghamshire,Other equipment,Baton: drawn,Not reported,0.0
Baton used,Nottinghamshire,Other equipment,Baton: used,Not reported,0.0
Not stated baton,Nottinghamshire,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",Nottinghamshire,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,Nottinghamshire,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,Nottinghamshire,Other equipment,Irritant spray: used,Not reported,0.0
Not stated irritant spray,Nottinghamshire,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Nottinghamshire,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Nottinghamshire,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Nottinghamshire,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED,Nottinghamshire,Less lethal weapons,CED,Not reported,0.0
"AEP, of which",Nottinghamshire,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,Nottinghamshire,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,Nottinghamshire,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Nottinghamshire,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Nottinghamshire,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Nottinghamshire,Other,Total: Other,Not reported,0.0
"Dog use, of which",Nottinghamshire,Other,Total: Dog,Not reported,0.0
Dog deployed,Nottinghamshire,Other,Dog: deployed,Not reported,0.0
Dog bite,Nottinghamshire,Other,Dog: bite,Not reported,0.0
Not stated dog,Nottinghamshire,Other,Dog: not stated,Not reported,0.0
Other / improvised,Nottinghamshire,Other,Other / improvised,Not reported,0.0
*Total Not reported,Nottinghamshire,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Nottinghamshire,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,South Wales,Total,Total: all,Not reported,0.0
*Total Restraint,South Wales,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",South Wales,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,South Wales,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,South Wales,Restraint,Handcuffing: non-compliant,Not reported,0.0
Not stated handcuffing,South Wales,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,South Wales,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,South Wales,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,South Wales,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,South Wales,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",South Wales,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,South Wales,Other equipment,Baton: drawn,Not reported,0.0
Baton used,South Wales,Other equipment,Baton: used,Not reported,0.0
Not stated baton,South Wales,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",South Wales,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,South Wales,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,South Wales,Other equipment,Irritant spray: used,Not reported,0.0
Not stated irritant spray,South Wales,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,South Wales,Other equipment,Spit and bite guard,Not reported,0.0
Shield,South Wales,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,South Wales,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED,South Wales,Less lethal weapons,CED,Not reported,0.0
"AEP, of which",South Wales,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,South Wales,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,South Wales,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,South Wales,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,South Wales,Firearms,Total: Firearms,Not reported,0.0
*Total Other,South Wales,Other,Total: Other,Not reported,0.0
"Dog use, of which",South Wales,Other,Total: Dog,Not reported,0.0
Dog deployed,South Wales,Other,Dog: deployed,Not reported,0.0
Dog bite,South Wales,Other,Dog: bite,Not reported,0.0
Not stated dog,South Wales,Other,Dog: not stated,Not reported,0.0
Other / improvised,South Wales,Other,Other / improvised,Not reported,0.0
*Total Not reported,South Wales,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,South Wales,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,South Yorkshire,Total,Total: all,Not reported,0.0
*Total Restraint,South Yorkshire,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",South Yorkshire,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,South Yorkshire,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,South Yorkshire,Restraint,Handcuffing: non-compliant,Not reported,0.0
Not stated handcuffing,South Yorkshire,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,South Yorkshire,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,South Yorkshire,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,South Yorkshire,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,South Yorkshire,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",South Yorkshire,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,South Yorkshire,Other equipment,Baton: drawn,Not reported,0.0
Baton used,South Yorkshire,Other equipment,Baton: used,Not reported,0.0
Not stated baton,South Yorkshire,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",South Yorkshire,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,South Yorkshire,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,South Yorkshire,Other equipment,Irritant spray: used,Not reported,0.0
Not stated irritant spray,South Yorkshire,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,South Yorkshire,Other equipment,Spit and bite guard,Not reported,0.0
Shield,South Yorkshire,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,South Yorkshire,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED,South Yorkshire,Less lethal weapons,CED,Not reported,0.0
"AEP, of which",South Yorkshire,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,South Yorkshire,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,South Yorkshire,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,South Yorkshire,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,South Yorkshire,Firearms,Total: Firearms,Not reported,0.0
*Total Other,South Yorkshire,Other,Total: Other,Not reported,0.0
"Dog use, of which",South Yorkshire,Other,Total: Dog,Not reported,0.0
Dog deployed,South Yorkshire,Other,Dog: deployed,Not reported,0.0
Dog bite,South Yorkshire,Other,Dog: bite,Not reported,0.0
