date,geography,Rural Urban,Ethnic Group: All categories: Ethnic group; measures: Value,Ethnic Group: White; measures: Value,Ethnic Group: White: English/Welsh/Scottish/Northern Irish/British; measures: Value,Ethnic Group: White: Irish; measures: Value,Ethnic Group: White: Gypsy or Irish Traveller; measures: Value,Ethnic Group: White: Other White; measures: Value,Ethnic Group: Mixed; measures: Value,Ethnic Group: Mixed/multiple ethnic group: White and Black Caribbean; measures: Value,Ethnic Group: Mixed/multiple ethnic group: White and Black African; measures: Value,Ethnic Group: Mixed/multiple ethnic group: White and Asian; measures: Value,Ethnic Group: Mixed/multiple ethnic group: Other Mixed; measures: Value,Ethnic Group: Asian; measures: Value,Ethnic Group: Asian/Asian British: Indian; measures: Value,Ethnic Group: Asian/Asian British: Pakistani; measures: Value,Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value,Ethnic Group: Asian/Asian British: Chinese; measures: Value,Ethnic Group: Asian/Asian British: Other Asian; measures: Value,Ethnic Group: Black; measures: Value,Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value,Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value,Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value,Ethnic Group: Other; measures: Value,Ethnic Group: Other ethnic group: Arab; measures: Value,Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value,LAD16NM,CSP16CD,CSP16NM,PFA16CD,PFA16NM,FID
2011,Bracknell Forest,Total,113205,102554,96080,984,118,5372,2303,656,297,808,542,5664,1989,518,134,556,2467,2189,1586,402,201,495,201,294,Bracknell Forest,E22000304,Bracknell Forest,E23000029,Thames Valley,256
2011,Brighton and Hove,Total,273369,243512,220018,3772,198,19524,10408,2182,2019,3351,2856,11278,2996,649,1367,2999,3267,4188,2893,879,416,3983,2184,1799,Brighton and Hove,E22000292,Brighton and Hove,E23000033,Sussex,294
2011,Isle of Wight,Total,138265,134545,131099,747,94,2605,1709,507,123,738,341,1514,435,80,131,219,649,303,141,115,47,194,52,142,Isle of Wight,E22000116,Isle of Wight,E23000030,Hampshire,309
2011,Medway,Total,263925,236579,225654,1946,510,8469,5176,1730,735,1546,1165,13615,7132,1516,1304,1065,2598,6663,4742,1428,493,1892,517,1375,Medway,E22000143,Medway,E23000032,Kent,249
2011,Milton Keynes,Total,248821,199094,183934,2498,72,12590,8235,2243,1597,2228,2167,22782,8106,3851,1989,2722,6114,17131,13058,2524,1549,1579,565,1014,Milton Keynes,E22000307,Milton Keynes,E23000029,Thames Valley,290
2011,Portsmouth,Total,205056,181182,172313,1071,85,7713,5467,1103,935,2381,1048,12474,2911,539,3649,2611,2764,3777,2958,540,279,2156,1078,1078,Portsmouth,E22000118,Portsmouth,E23000030,Hampshire,300
2011,Reading,Total,155698,116387,101725,2269,90,12303,6180,2718,802,1428,1232,21161,6514,6967,695,1603,5382,10470,6087,3279,1104,1500,680,820,Reading,E22000309,Reading,E23000029,Thames Valley,268
2011,Slough,Total,140205,64053,48401,1607,220,13825,4758,1667,607,1429,1055,55697,21922,24869,549,797,7560,12115,7548,3096,1471,3582,928,2654,Slough,E22000310,Slough,E23000029,Thames Valley,274
2011,Southampton,Total,236882,203528,183980,1746,341,17461,5678,1678,941,1796,1263,19892,6742,3019,1401,3449,5281,5067,3508,1132,427,2717,1312,1405,Southampton,E22000120,Southampton,E23000030,Hampshire,305
2011,West Berkshire,Total,153822,145854,139044,1284,164,5362,2420,776,262,831,551,3808,1675,473,225,659,776,1376,701,514,161,364,139,225,West Berkshire,E22000314,West Berkshire,E23000029,Thames Valley,262
2011,Windsor and Maidenhead,Total,144560,124505,112081,2055,219,10150,3315,679,358,1399,879,13848,5860,4238,393,1071,2286,1725,1039,473,213,1167,379,788,Windsor and Maidenhead,E22000316,Windsor and Maidenhead,E23000029,Thames Valley,280
2011,Wokingham,Total,154380,136525,129119,1367,291,5748,3182,890,337,1273,682,11438,5331,2865,222,1203,1817,2093,1203,712,178,1142,500,642,Wokingham,E22000317,Wokingham,E23000029,Thames Valley,284
2011,Aylesbury Vale,Total,174137,156079,148360,1573,134,6012,3864,1518,461,1077,808,10105,1872,5408,201,636,1988,3323,1676,1302,345,766,339,427,Aylesbury Vale,E22000303,Aylesbury Vale,E23000029,Thames Valley,347
2011,Chiltern,Total,92635,84749,79579,1118,121,3931,2040,380,190,998,472,5046,1799,1772,120,442,913,524,258,213,53,276,58,218,Chiltern,E22000306,Chiltern,E23000029,Thames Valley,348
2011,South Bucks,Total,66867,56365,51541,1133,256,3435,1607,416,119,720,352,7533,4758,965,171,527,1112,709,354,278,77,653,174,479,South Bucks,E22000311,South Bucks,E23000029,Thames Valley,2
2011,Wycombe,Total,171644,139477,130313,1553,103,7508,4849,2259,328,1330,932,20585,2939,13091,597,949,3009,5934,1744,3382,808,799,282,517,Wycombe,E22000318,Wycombe,E23000029,Thames Valley,6
2011,Eastbourne,Total,99412,93508,86903,978,66,5561,1791,434,302,572,483,2795,671,107,287,621,1109,783,517,159,107,535,229,306,Eastbourne,E22000295,Eastbourne,E23000033,Sussex,221
2011,Hastings,Total,90254,84631,80624,702,150,3155,1948,595,277,585,491,2126,487,78,276,366,919,1065,639,303,123,484,161,323,Hastings,E22000296,Hastings,E23000033,Sussex,227
2011,Lewes,Total,97502,94159,90218,757,97,3087,1275,325,155,460,335,1400,360,64,153,316,507,416,248,123,45,252,97,155,Lewes,E22000298,Lewes,E23000033,Sussex,233
2011,Rother,Total,90588,87951,85279,596,134,1942,1031,267,107,405,252,1103,276,16,109,217,485,305,181,76,48,198,72,126,Rother,E22000300,Rother,E23000033,Sussex,239
2011,Wealden,Total,148915,145173,139745,933,368,4127,1428,326,182,562,358,1719,459,52,217,411,580,343,215,110,18,252,79,173,Wealden,E22000301,Wealden,E23000033,Sussex,246
2011,Basingstoke and Deane,Total,167799,155888,148078,1324,163,6323,2813,1047,318,863,585,6715,2437,389,330,1221,2338,1909,1259,470,180,474,138,336,Basingstoke and Deane,E22000374,North Hampshire,E23000030,Hampshire,15
2011,East Hampshire,Total,115608,111635,107568,656,267,3144,1305,312,153,513,327,1859,481,31,165,316,866,517,396,81,40,292,141,151,East Hampshire,E22000110,East Hampshire,E23000030,Hampshire,18
2011,Eastleigh,Total,125199,118537,114873,602,191,2871,1740,391,254,652,443,3740,1954,160,294,625,707,605,430,129,46,577,201,376,Eastleigh,E22000111,Eastleigh,E23000030,Hampshire,23
2011,Fareham,Total,111581,107959,105663,475,85,1736,1359,301,150,657,251,1667,663,77,125,467,335,357,215,109,33,239,106,133,Fareham,E22000112,Fareham,E23000030,Hampshire,29
2011,Gosport,Total,82622,79685,78001,313,32,1339,1066,272,142,426,226,1073,428,31,149,214,251,592,321,183,88,206,48,158,Gosport,E22000113,Gosport,E23000030,Hampshire,35
2011,Hart,Total,91033,86355,82534,642,273,2906,1457,311,152,685,309,2448,880,141,136,435,856,506,266,178,62,267,100,167,Hart,E22000374,North Hampshire,E23000030,Hampshire,40
2011,Havant,Total,120684,117162,114919,532,64,1647,1514,404,215,588,307,1427,504,72,155,313,383,388,252,55,81,193,73,120,Havant,E22000115,Havant,E23000030,Hampshire,46
2011,New Forest,Total,176462,172160,167445,829,423,3463,1620,439,188,603,390,1665,472,34,195,338,626,612,328,141,143,405,72,333,New Forest,E22000117,New Forest,E23000030,Hampshire,53
2011,Rushmoor,Total,93807,79520,75511,718,155,3136,2057,624,342,644,447,9755,1310,635,206,497,7107,1868,1115,538,215,607,134,473,Rushmoor,E22000374,North Hampshire,E23000030,Hampshire,60
2011,Test Valley,Total,116398,111645,107743,537,153,3212,1494,378,246,565,305,2368,937,141,166,434,690,487,258,149,80,404,139,265,Test Valley,E22000121,Test Valley,E23000030,Hampshire,66
2011,Winchester,Total,116595,111577,107070,733,263,3511,1626,321,180,684,441,2639,665,92,222,745,915,457,250,147,60,296,110,186,Winchester,E22000122,Winchester,E23000030,Hampshire,75
2011,Ashford,Total,117956,110520,105498,753,531,3738,1682,544,235,507,396,3991,958,161,185,431,2256,1375,948,327,100,388,87,301,Ashford,E22000137,Ashford,E23000032,Kent,128
2011,Canterbury,Total,151145,140620,132269,1260,374,6717,2551,680,305,897,669,5135,1448,306,251,1436,1694,1937,1338,437,162,902,405,497,Canterbury,E22000138,Canterbury,E23000032,Kent,134
2011,Dartford,Total,97365,85070,80466,767,244,3593,2161,620,346,693,502,5799,2670,179,431,538,1981,3578,2814,497,267,757,179,578,Dartford,E22000352,Dartford and Gravesham,E23000032,Kent,140
2011,Dover,Total,111674,107966,103848,572,234,3312,1029,281,133,360,255,2031,397,40,151,274,1169,386,265,85,36,262,65,197,Dover,E22000140,Dover,E23000032,Kent,145
2011,Gravesham,Total,101720,84226,78422,791,320,4693,2066,564,359,627,516,10604,7538,550,477,326,1713,2885,2226,456,203,1939,94,1845,Gravesham,E22000352,Dartford and Gravesham,E23000032,Kent,150
2011,Maidstone,Total,155143,145996,138235,955,838,5968,2345,625,319,841,560,4943,1226,340,381,461,2535,1380,867,356,157,479,140,339,Maidstone,E22000142,Maidstone,E23000032,Kent,158
